Code,Last,Change,Change(%),GridFluctRatio,Freq,Volume,Value,Frg Buy,Frg Sell,Net Buy
SULI,82,Rise,5,6.49,"1,231","81,530","688,828","100,162","84,828","15,334"
RODA,54,Unchnaged,0,0,278,"28,790","157,671","120,385","106,306","14,079"
BABP,50,Unchnaged,0,0,29,727,"3,635","14,000",132,"13,868"
MCOR,66,Unchnaged,0,0,222,"2,987","19,867","49,329","35,536","13,793"
AYLS,118,Fall,3,2.47,108,"4,465","54,291","13,620",18,"13,602"
INDS,270,Fall,6,2.17,301,"12,416","335,622","102,827","89,524","13,303"
MLIA,240,Fall,2,0.82,13,301,"7,253","13,665",874,"12,791"
MORA,"7,650",Rise,25,0.32,858,"4,068","3,215,675","42,667","30,845","11,822"
WTON,74,Unchnaged,0,0,151,"17,239","128,479","59,939","48,269","11,670"
UCID,378,Fall,4,1.04,59,"4,391","164,651","61,857","50,318","11,539"
TEBE,"1,015",Fall,25,2.4,165,"2,302","237,440","36,863","25,460","11,403"
BRRC,58,Rise,1,1.75,228,"18,601","108,102","41,136","29,977","11,159"
EPAC,71,Rise,3,4.41,"1,445","285,762","1,963,878","374,137","363,033","11,104"
WINE,163,Fall,3,1.8,23,103,"1,677","14,446","3,417","11,029"
NICE,256,Fall,6,2.29,53,"1,316","33,842","17,016","6,189","10,827"
RATU,"4,840",Rise,50,1.04,"2,432","29,819","14,527,286","286,730","275,938","10,792"
GPSO,470,Fall,16,3.29,"1,146","102,260","4,856,311","399,507","388,854","10,653"
KDTN,740,Rise,35,4.96,60,"1,641","116,014","16,798","6,281","10,517"
CENT,72,Fall,1,1.36,128,"8,768","64,766","29,922","19,437","10,485"
BPTR,69,Fall,1,1.42,35,667,"4,612","11,877","1,460","10,417"
BNII,187,Unchnaged,0,0,67,"1,178","21,999","35,740","25,378","10,362"
NASI,109,Fall,1,0.9,93,"5,073","55,555","17,204","7,419","9,785"
TMPO,104,Fall,3,2.8,262,"27,262","286,171","17,970","8,436","9,534"
SMIL,272,Rise,12,4.61,"1,343","638,348","16,660,224","237,934","228,621","9,313"
TCPI,"7,275",Fall,250,3.32,"2,222","44,101","32,037,052","96,947","88,138","8,809"
DOID,206,Fall,4,1.9,175,"10,843","226,412","205,171","196,630","8,541"
PMUI,80,Unchnaged,0,0,218,"7,606","61,614","136,083","127,643","8,440"
PRDA,"2,560",Fall,30,1.15,379,"3,922","1,010,300","33,777","25,419","8,358"
NEST,580,Rise,10,1.75,"4,933","56,500","3,246,981","77,687","69,340","8,347"
PIPA,118,Fall,1,0.84,"2,946","178,636","2,137,483","580,287","572,118","8,169"
IOTF,52,Fall,1,1.88,272,"38,845","201,943","70,757","62,644","8,113"
EPMT,"2,240",Fall,40,1.75,43,584,"131,286","8,561",673,"7,888"
SICO,104,Rise,2,1.96,122,"4,999","51,761","16,718","8,913","7,805"
KOBX,146,Rise,2,1.38,"1,159","65,415","1,002,495","37,523","29,773","7,750"
CITY,159,Fall,7,4.21,181,"4,986","80,488","19,333","11,719","7,614"
LPCK,520,Rise,10,1.96,14,54,"2,764","10,481","3,172","7,309"
RSCH,316,Fall,8,2.46,379,"109,487","3,545,755","177,991","170,691","7,300"
GUNA,154,Unchnaged,0,0,40,908,"13,751","16,554","9,254","7,300"
MDIY,850,Unchnaged,0,0,56,714,"60,050","195,457","188,288","7,169"
ARII,278,Fall,10,3.47,37,562,"15,682","22,954","15,950","7,004"
TPMA,424,Fall,6,1.39,371,"11,352","485,208","274,167","267,598","6,569"
PTSN,226,Fall,6,2.58,52,630,"14,450","15,753","9,199","6,554"
BCIC,148,Rise,9,6.47,"5,343","377,754","5,926,309","70,749","64,242","6,507"
BSSR,"4,550",Rise,20,0.44,"1,456","15,759","7,165,521","35,834","29,570","6,264"
MTWI,264,Fall,6,2.22,2,5,127,"6,507",314,"6,193"
SOTS,630,Fall,10,1.56,223,"4,372","267,086","16,415","10,341","6,074"
DNAR,114,Unchnaged,0,0,33,778,"8,955","13,984","8,018","5,966"
RAJA,"3,890",Rise,150,4.01,"5,527","119,992","46,539,122","1,055,777","1,049,900","5,877"
KKGI,282,Unchnaged,0,0,183,"3,138","88,572","33,466","27,661","5,805"
SNLK,226,Fall,2,0.87,561,"127,388","2,861,036","49,567","43,768","5,799"
LPLI,246,Unchnaged,0,0,5,41,"1,013","7,751","2,026","5,725"
DYAN,74,Unchnaged,0,0,45,"1,209","8,959","25,721","20,821","4,900"
SUNI,630,Fall,20,3.07,91,"3,285","207,696","8,469","3,576","4,893"
FOLK,180,Unchnaged,0,0,234,"36,466","651,933","126,068","121,409","4,659"
TYRE,108,Unchnaged,0,0,13,36,386,"5,543",917,"4,626"
TAYS,50,Unchnaged,0,0,16,"1,014","5,070","5,000",424,"4,576"
PMJS,110,Fall,2,1.78,39,397,"4,397","8,005","3,437","4,568"
JAWA,143,Rise,21,17.21,"2,541","198,929","2,848,524","17,001","12,482","4,519"
GDYR,"1,095",Rise,5,0.45,2,9,986,"4,466",238,"4,228"
DGNS,232,Rise,2,0.86,77,785,"18,159","11,020","6,942","4,078"
IPCM,318,Fall,4,1.24,80,"3,352","107,382","24,093","20,051","4,042"
GEMA,78,Fall,1,1.26,46,"11,341","88,577","8,661","4,800","3,861"
MEGA,"1,995",Fall,65,3.15,22,392,"79,897","4,380",651,"3,729"
KING,380,Fall,20,5,364,"8,851","352,496","3,593",0,"3,593"
FUJI,264,Unchnaged,0,0,55,"69,498","1,854,970","34,837","31,300","3,537"
LABS,146,Unchnaged,0,0,175,"4,981","72,557","50,778","47,250","3,528"
PBID,472,Fall,4,0.84,266,"4,870","229,180","17,125","13,885","3,240"
LOPI,55,Fall,1,1.78,178,"7,999","43,270","3,000",0,"3,000"
BRNA,575,Fall,10,1.7,9,80,"4,637","4,111","1,232","2,879"
BDKR,137,Rise,1,0.73,"7,287","132,287","1,801,441","665,600","662,777","2,823"
PSGO,198,Rise,1,0.5,51,871,"17,282","5,660","2,845","2,815"
EKAD,170,Unchnaged,0,0,41,291,"4,917","3,755",955,"2,800"
ARTO,920,Fall,15,1.6,"1,982","77,897","7,065,312","514,978","512,229","2,749"
OPMS,93,Fall,2,2.1,692,"27,625","262,102","19,770","17,038","2,732"
BBHI,955,Fall,10,1.03,18,378,"36,505","5,188","2,602","2,586"
KARW,248,Fall,12,4.61,18,252,"6,171","2,560",0,"2,560"
DSSAZPCZ6A,22,Unchnaged,0,0,475,"185,368","424,633","2,500",0,"2,500"
IMJS,140,Fall,1,0.7,110,"6,520","91,421","89,458","86,966","2,492"
LUCY,"1,220",Lower limit,135,9.96,123,"4,539","554,825","6,322","3,854","2,468"
VAST,119,Rise,1,0.84,204,"10,936","130,551","41,910","39,541","2,369"
BJBR,765,Unchnaged,0,0,248,"2,322","177,183","185,179","182,859","2,320"
GWSA,119,Rise,3,2.58,"1,223","42,697","542,755","18,276","16,051","2,225"
HAJJ,105,Rise,3,2.94,317,"41,396","431,608","65,233","63,067","2,166"
VINS,134,Rise,1,0.75,16,199,"2,616","2,777",757,"2,020"
BATA,61,Fall,1,1.61,8,63,384,"2,000",0,"2,000"
SMKL,141,Fall,2,1.39,143,"5,334","77,018","6,258","4,280","1,978"
MREI,975,Rise,5,0.51,9,21,"2,051","3,231","1,348","1,883"
BLOG,328,Unchnaged,0,0,29,"1,445","47,373","5,619","3,786","1,833"
SCNP,149,Fall,1,0.66,32,"2,085","31,072","5,072","3,241","1,831"
MSJA,408,Fall,20,4.67,"1,076","185,728","7,613,568","717,083","715,282","1,801"
ADMF,"8,000",Fall,50,0.62,42,107,"86,075","3,398","1,676","1,722"
KJEN,113,Fall,2,1.73,329,"21,641","246,918","163,352","161,680","1,672"
GDST,84,Rise,1,1.2,183,"11,356","95,571","9,816","8,183","1,633"
CAKK,145,Unchnaged,0,0,21,110,"1,569","2,148",516,"1,632"
NELY,202,Fall,2,0.98,69,"1,288","26,449","14,057","12,492","1,565"
BACA,112,Fall,1,0.88,65,"8,833","101,389","35,252","33,697","1,555"
RBMS,59,Rise,1,1.72,466,"99,306","577,871","88,903","87,376","1,527"
CNKO,39,Unchnaged,0,0,96,"15,008","58,531","3,004","1,500","1,504"
UANG,"2,220",Rise,10,0.45,43,103,"23,267","6,435","5,028","1,407"
ECII,122,Fall,3,2.4,175,"3,102","38,367","7,817","6,490","1,327"
ASDM,530,Fall,15,2.75,13,222,"11,903","1,400",120,"1,280"
BBLD,570,Fall,10,1.72,6,34,"1,902","1,406",126,"1,280"
CASH,165,Rise,4,2.48,180,"9,912","162,436","33,782","32,505","1,277"
KLAS,69,Unchnaged,0,0,186,"12,138","83,808","266,375","265,104","1,271"
KEJU,540,Fall,15,2.7,71,"1,214","65,556","11,310","10,102","1,208"
PICO,142,Rise,4,2.89,220,"8,154","113,980","8,579","7,402","1,177"
ALKA,550,Fall,10,1.78,41,208,"11,562","5,924","4,798","1,126"
CUANHDCX6A,7,Unchnaged,0,0,83,"43,686","31,546","1,088",0,"1,088"
ASMI,14,Lower limit,1,6.66,98,"34,382","48,134","1,055",0,"1,055"
XIIT,442,Fall,4,0.89,13,51,"2,265","1,216",166,"1,050"
CYBR-W,430,Fall,12,2.71,33,62,"2,669","1,027",3,"1,024"
PJHB,168,Fall,1,0.59,266,"3,179","53,392","50,933","49,936",997
BAYU,"1,165",Rise,35,3.09,75,411,"47,903","1,636",680,956
ASPI,306,Fall,4,1.29,28,"11,659","356,860","4,166","3,244",922
RISE,"1,010",Fall,15,1.46,114,"1,206","123,953","30,401","29,489",912
CASA,"1,705",Fall,180,9.54,10,33,"5,970","1,902","1,013",889
RONY,"1,115",Fall,50,4.29,25,45,"5,227","2,082","1,201",881
SKBM,505,Fall,15,2.88,47,314,"15,971","1,424",568,856
BOBA,340,Fall,18,5.02,159,"3,244","114,774","20,067","19,216",851
ENAK,286,Rise,16,5.92,"1,074","13,885","428,647","5,066","4,228",838
PEVE,320,Rise,4,1.26,24,124,"3,970","1,082",246,836
IGAR,414,Rise,8,1.97,37,408,"17,203","1,226",419,807
CCSI,254,Fall,2,0.78,60,562,"14,112","1,728",944,784
CBUT,720,Rise,5,0.69,161,"2,190","158,892","5,386","4,603",783
AGAR,218,Fall,2,0.9,14,42,914,"2,547","1,768",779
DEPO,234,Fall,10,4.09,28,370,"8,706","1,091",318,773
ADMG,202,Rise,3,1.5,9,118,"2,363","4,262","3,502",760
SPRE,80,Rise,1,1.26,146,"6,441","52,133",757,0,757
BNBA,765,Fall,25,3.16,63,"1,362","107,971","14,828","14,076",752
PJAA,470,Rise,8,1.73,14,52,"2,351","1,150",556,594
JAST,85,Rise,1,1.19,"3,015","154,356","1,352,019","6,494","5,917",577
INOV,119,Fall,1,0.83,72,"5,747","68,382","36,373","35,809",564
UDNG,"1,525",Lower limit,165,9.76,791,"16,182","2,547,327","42,847","42,328",519
GGRP,296,Unchnaged,0,0,19,569,"16,871","2,207","1,698",509
PPRO,19,Upper limit,1,5.55,230,"178,048","338,291",500,0,500
KMDS,520,Fall,15,2.8,10,183,"9,741","1,482","1,016",466
TAMA,162,Fall,1,0.61,260,"13,019","214,416","9,117","8,665",452
VICO,141,Rise,1,0.71,4,8,113,536,111,425
ESTA,183,Fall,1,0.54,54,984,"17,487","4,738","4,338",400
SMMA,"20,075",Fall,"1,825",8.33,38,47,"96,722",510,116,394
PDPP,256,Fall,6,2.29,36,838,"21,625","3,171","2,812",359
XIHD,584,Fall,1,0.17,5,68,"3,972",350,0,350
MERK,"3,650",Rise,100,2.81,10,23,"8,366",834,492,342
PTSP,860,Fall,35,3.91,7,44,"3,839",403,81,322
BPII,456,,0,0,0,0,0,475,154,321
PPGL,182,Fall,8,4.21,178,"6,332","114,400",438,129,309
MINE,214,Fall,2,0.92,92,"2,138","45,253","13,431","13,156",275
ATLA,50,Unchnaged,0,0,38,"20,306","101,530",641,387,254
FAPA,"7,375",Unchnaged,0,0,3,39,"28,762",280,36,244
HBAT,378,Unchnaged,0,0,650,"26,850","973,898","5,533","5,332",201
MBTO,108,Unchnaged,0,0,190,"8,089","88,405",200,0,200
SBMA,103,Fall,5,4.62,52,"4,482","46,601",550,361,189
TCID,"2,780",Fall,20,0.71,6,18,"5,036",253,76,177
AKPI,480,Fall,2,0.41,12,17,822,520,371,149
SAPX,230,Fall,2,0.86,26,200,"4,466",660,511,149
INCI,650,Fall,5,0.76,11,16,"1,046",130,0,130
TRST,466,Fall,10,2.1,6,27,"1,257",389,262,127
BINA,"3,150",Unchnaged,0,0,78,303,"95,209",686,574,112
KBLM,288,Unchnaged,0,0,9,175,"5,121",291,185,106
GLVA,328,Rise,6,1.86,25,271,"8,736",258,158,100
UFOE,136,Fall,2,1.44,18,172,"2,348","2,922","2,827",95
BAUT,27,Fall,1,3.57,38,"3,190","8,613",70,0,70
LFLO,565,Rise,5,0.89,71,"2,224","135,160",113,49,64
SIPD,690,Fall,5,0.71,7,22,"1,510",131,69,62
IKPM,183,Fall,2,1.08,3,7,128,414,362,52
ARKA,21,Lower limit,2,8.69,118,"17,737","38,622",50,0,50
TALF,695,Rise,40,6.1,400,"3,934","278,786",619,574,45
CBDK,"3,550",Fall,40,1.11,310,"4,550","1,635,025","112,682","112,641",41
RELI,496,,0,0,0,0,0,66,32,34
SHIP,"1,680",Rise,150,9.8,18,195,"32,760",40,6,34
GTBO,176,Fall,3,1.67,42,671,"11,709","2,094","2,064",30
ISAP-W,15,Unchnaged,0,0,69,"9,671","14,319",24,0,24
SFAN,"1,980",Unchnaged,0,0,14,269,"53,216",247,226,21
KONI,"2,780",Rise,60,2.2,45,91,"25,654",665,645,20
PANS,"1,840",Fall,10,0.54,237,"5,288","976,177","3,274","3,257",17
AMAG,398,Rise,2,0.5,8,17,661,482,467,15
XCLQ,67,Rise,1,1.51,26,125,870,24,10,14
TRUS,282,Fall,10,3.42,42,595,"17,494",366,352,14
PNGO,"3,440",Rise,20,0.58,2,2,693,116,102,14
DNET,"10,075",Fall,200,1.94,2,3,"3,042",61,48,13
UNIC,"12,425",Fall,250,1.97,9,12,"14,967",166,155,11
XSSI,62,Unchnaged,0,0,6,42,260,10,0,10
XCIS,73,Fall,5,6.41,25,760,"6,439",50,40,10
GHON,"1,630",Fall,25,1.51,469,"1,846","291,084",901,893,8
ARTA,"2,220",,0,0,0,0,0,166,159,7
OMRE,"1,095",Rise,60,5.79,8,58,"6,167",5,0,5
ABDA,"3,300",Fall,150,4.34,7,13,"4,291",52,48,4
DCII,"189,000",Unchnaged,0,0,11,23,"434,850",7,5,2
AMFG,"3,020",Unchnaged,0,0,3,12,"3,624",59,57,2
POLU,"14,150",Fall,675,4.55,28,37,"52,942",50,49,1
