"Code","Last","Change","Change(%)","GridFluctRatio","Freq","Volume","Value","Frg Buy","Frg Sell","Net Buy"
"BNBR","109","","0","0.00","0","0","0","1,803,297","842,734","960,563"
"GOTO","50","","0","0.00","0","0","0","902,299","0","902,299"
"BUMI","167","","0","0.00","0","0","0","6,530,606","5,706,141","824,465"
"TPIA","2,050","","0","0.00","0","0","0","1,170,243","659,532","510,711"
"BBRI","2,910","","0","0.00","0","0","0","1,929,548","1,423,850","505,698"
"JGLE","53","","0","0.00","0","0","0","609,716","180,905","428,811"
"DMAS","155","","0","0.00","0","0","0","480,995","73,556","407,439"
"BIPI","155","","0","0.00","0","0","0","998,971","630,011","368,960"
"BREN","3,690","","0","0.00","0","0","0","378,122","35,841","342,281"
"BUVA","930","","0","0.00","0","0","0","707,602","390,096","317,506"
"INET","208","","0","0.00","0","0","0","320,014","105,650","214,364"
"BRMS","640","","0","0.00","0","0","0","1,336,308","1,131,679","204,629"
"BRPT","1,675","","0","0.00","0","0","0","420,162","240,516","179,646"
"BKSL","64","","0","0.00","0","0","0","329,449","152,214","177,235"
"PWON","250","","0","0.00","0","0","0","378,814","232,406","146,408"
"DEWA","364","","0","0.00","0","0","0","1,019,102","875,523","143,579"
"PTRO","4,320","","0","0.00","0","0","0","175,715","33,711","142,004"
"ZATA","52","","0","0.00","0","0","0","181,367","46,113","135,254"
"PACK","254","","0","0.00","0","0","0","246,319","117,211","129,108"
"SRSN","73","","0","0.00","0","0","0","327,900","203,902","123,998"
"BULL","388","","0","0.00","0","0","0","384,431","265,956","118,475"
"RAJA","4,160","","0","0.00","0","0","0","152,163","57,362","94,801"
"SDMU","85","","0","0.00","0","0","0","136,309","51,673","84,636"
"CUAN","685","","0","0.00","0","0","0","626,725","545,769","80,956"
"TLKM","2,540","","0","0.00","0","0","0","1,357,172","1,282,257","74,915"
"BBNI","3,430","","0","0.00","0","0","0","269,872","195,982","73,890"
"SMGR","1,510","","0","0.00","0","0","0","172,352","98,680","73,672"
"MINA","302","","0","0.00","0","0","0","182,347","111,282","71,065"
"CMNT","780","","0","0.00","0","0","0","79,353","12,946","66,407"
"PSAB","422","","0","0.00","0","0","0","122,846","65,482","57,364"
"BBTN","1,150","","0","0.00","0","0","0","85,618","30,608","55,010"
"ANTM","2,870","","0","0.00","0","0","0","570,753","515,775","54,978"
"GTSI","142","","0","0.00","0","0","0","65,681","16,307","49,374"
"PPRE","112","","0","0.00","0","0","0","367,461","319,228","48,233"
"EPAC","70","","0","0.00","0","0","0","93,035","46,330","46,705"
"INDO","166","","0","0.00","0","0","0","68,780","25,086","43,694"
"HUMI","125","","0","0.00","0","0","0","117,248","77,618","39,630"
"TOWR","370","","0","0.00","0","0","0","200,276","163,214","37,062"
"PNLF","214","","0","0.00","0","0","0","71,909","35,858","36,051"
"TINS","3,710","","0","0.00","0","0","0","162,662","126,640","36,022"
"MARK","950","","0","0.00","0","0","0","87,584","52,159","35,425"
"GZCO","152","","0","0.00","0","0","0","35,031","3,605","31,426"
"BEEF","164","","0","0.00","0","0","0","37,495","8,442","29,053"
"STRK","68","","0","0.00","0","0","0","28,400","221","28,179"
"DOOH","131","","0","0.00","0","0","0","44,540","18,102","26,438"
"KOTA","100","","0","0.00","0","0","0","219,463","193,344","26,119"
"NSSS","610","","0","0.00","0","0","0","40,120","14,621","25,499"
"EMDE","64","","0","0.00","0","0","0","24,217","5","24,212"
"PADA","114","","0","0.00","0","0","0","32,937","9,488","23,449"
"WIFI","1,685","","0","0.00","0","0","0","44,489","21,141","23,348"
"SOCI","338","","0","0.00","0","0","0","42,964","19,981","22,983"
"WIRG","56","","0","0.00","0","0","0","25,004","2,750","22,254"
"ASPR","171","","0","0.00","0","0","0","65,664","43,513","22,151"
"BTPS","1,000","","0","0.00","0","0","0","29,918","8,800","21,118"
"IPTV","39","","0","0.00","0","0","0","20,000","0","20,000"
"PSKT","202","","0","0.00","0","0","0","53,368","35,686","17,682"
"CDIA","690","","0","0.00","0","0","0","40,760","24,130","16,630"
"MDIA","70","","0","0.00","0","0","0","129,882","113,703","16,179"
"MAPA","620","","0","0.00","0","0","0","97,341","81,196","16,145"
"INDF","6,750","","0","0.00","0","0","0","83,943","67,828","16,115"
"INTP","4,190","","0","0.00","0","0","0","22,707","8,008","14,699"
"RMKE","2,260","","0","0.00","0","0","0","24,973","10,418","14,555"
"AHAP","84","","0","0.00","0","0","0","20,058","5,579","14,479"
"TCPI","7,575","","0","0.00","0","0","0","27,558","13,712","13,846"
"ISAT","1,765","","0","0.00","0","0","0","122,528","110,020","12,508"
"BHIT","29","","0","0.00","0","0","0","12,117","0","12,117"
"TOSK","59","","0","0.00","0","0","0","10,747","0","10,747"
"GIAA","57","","0","0.00","0","0","0","46,449","35,749","10,700"
"MPMX","960","","0","0.00","0","0","0","12,914","3,049","9,865"
"HOKI","55","","0","0.00","0","0","0","10,150","698","9,452"
"MDLA","204","","0","0.00","0","0","0","9,294","25","9,269"
"MEDS","74","","0","0.00","0","0","0","42,100","32,953","9,147"
"FILM","1,735","","0","0.00","0","0","0","15,505","6,981","8,524"
"SOFA","242","","0","0.00","0","0","0","14,295","6,080","8,215"
"POLA","62","","0","0.00","0","0","0","7,765","42","7,723"
"GGRM","17,150","","0","0.00","0","0","0","10,053","2,394","7,659"
"HATM","366","","0","0.00","0","0","0","25,522","17,935","7,587"
"FIRE","107","","0","0.00","0","0","0","22,004","14,426","7,578"
"BELL","101","","0","0.00","0","0","0","17,556","10,327","7,229"
"CYBR","660","","0","0.00","0","0","0","21,874","14,686","7,188"
"GSMF","80","","0","0.00","0","0","0","7,656","519","7,137"
"HALO","63","","0","0.00","0","0","0","7,053","0","7,053"
"MOLI","264","","0","0.00","0","0","0","8,712","1,712","7,000"
"ESTI","123","","0","0.00","0","0","0","6,659","65","6,594"
"RATU","5,050","","0","0.00","0","0","0","22,516","16,273","6,243"
"ARNA","432","","0","0.00","0","0","0","6,377","162","6,215"
"SCMA","198","","0","0.00","0","0","0","43,657","37,571","6,086"
"HRTA","2,050","","0","0.00","0","0","0","16,170","10,173","5,997"
"WEHA","103","","0","0.00","0","0","0","7,298","1,598","5,700"
"TOTL","1,065","","0","0.00","0","0","0","24,917","19,217","5,700"
"BDKR","135","","0","0.00","0","0","0","34,428","28,865","5,563"
"PTBA","2,480","","0","0.00","0","0","0","62,809","57,321","5,488"
"NRCA","456","","0","0.00","0","0","0","8,210","2,985","5,225"
"INDS","270","","0","0.00","0","0","0","5,600","405","5,195"
"WOWS","55","","0","0.00","0","0","0","5,182","0","5,182"
"COIN","735","","0","0.00","0","0","0","12,039","7,116","4,923"
"MSKY","63","","0","0.00","0","0","0","6,580","1,711","4,869"
"HAJJ","106","","0","0.00","0","0","0","4,273","0","4,273"
"PBRX","28","","0","0.00","0","0","0","4,000","0","4,000"
"IMPC","1,610","","0","0.00","0","0","0","21,726","17,759","3,967"
"MAHA","132","","0","0.00","0","0","0","4,522","669","3,853"
"BFIN","700","","0","0.00","0","0","0","61,861","58,080","3,781"
"NIKL","193","","0","0.00","0","0","0","16,890","13,341","3,549"
"HDFA","91","","0","0.00","0","0","0","3,446","0","3,446"
"TRIN","366","","0","0.00","0","0","0","7,940","4,714","3,226"
"KEEN","850","","0","0.00","0","0","0","8,552","5,366","3,186"
"KAEF","478","","0","0.00","0","0","0","5,874","2,834","3,040"
"DILD","115","","0","0.00","0","0","0","8,132","5,098","3,034"
"DPUM","110","","0","0.00","0","0","0","14,030","11,100","2,930"
"NICL","560","","0","0.00","0","0","0","34,120","31,326","2,794"
"CHEK","128","","0","0.00","0","0","0","2,852","58","2,794"
"RSCH","322","","0","0.00","0","0","0","9,380","6,687","2,693"
"MPIX","95","","0","0.00","0","0","0","2,681","0","2,681"
"AREA","236","","0","0.00","0","0","0","3,226","581","2,645"
"TSPC","2,500","","0","0.00","0","0","0","2,981","515","2,466"
"SGER","374","","0","0.00","0","0","0","3,910","1,496","2,414"
"PTPP","188","","0","0.00","0","0","0","2,778","547","2,231"
"CPRO","50","","0","0.00","0","0","0","2,178","0","2,178"
"SOLA","104","","0","0.00","0","0","0","3,319","1,162","2,157"
"OILS","191","","0","0.00","0","0","0","5,184","3,087","2,097"
"TRON","100","","0","0.00","0","0","0","2,033","136","1,897"
"GPSO","466","","0","0.00","0","0","0","34,320","32,432","1,888"
"HOPE","110","","0","0.00","0","0","0","9,133","7,271","1,862"
"BATR","88","","0","0.00","0","0","0","1,925","80","1,845"
"ERAL","278","","0","0.00","0","0","0","3,351","1,533","1,818"
"BABY","202","","0","0.00","0","0","0","5,353","3,589","1,764"
"RLCO","3,610","","0","0.00","0","0","0","2,886","1,176","1,710"
"PNBN","920","","0","0.00","0","0","0","2,365","728","1,637"
"ARKO","5,450","","0","0.00","0","0","0","5,941","4,305","1,636"
"PANI","6,675","","0","0.00","0","0","0","10,993","9,431","1,562"
"UDNG","1,525","","0","0.00","0","0","0","3,050","1,535","1,515"
"IRSX","284","","0","0.00","0","0","0","39,901","38,396","1,505"
"ALII","780","","0","0.00","0","0","0","4,402","2,910","1,492"
"CBDK","3,680","","0","0.00","0","0","0","3,171","1,747","1,424"
"VTNY","60","","0","0.00","0","0","0","2,099","743","1,356"
"KOCI","95","","0","0.00","0","0","0","56,037","54,768","1,269"
"KLAS","68","","0","0.00","0","0","0","3,067","1,822","1,245"
"VRNA","74","","0","0.00","0","0","0","1,233","0","1,233"
"INKP","7,275","","0","0.00","0","0","0","14,949","13,734","1,215"
"MLBI","6,300","","0","0.00","0","0","0","1,887","694","1,193"
"BCIC","152","","0","0.00","0","0","0","17,861","16,701","1,160"
"MKAP","1,100","","0","0.00","0","0","0","1,618","492","1,126"
"WIIM","1,650","","0","0.00","0","0","0","2,434","1,354","1,080"
"KJEN","113","","0","0.00","0","0","0","2,750","1,684","1,066"
"SWID","91","","0","0.00","0","0","0","1,055","6","1,049"
"PEGE","109","","0","0.00","0","0","0","1,009","0","1,009"
"BABP","50","","0","0.00","0","0","0","1,000","0","1,000"
"FOLK","178","","0","0.00","0","0","0","2,751","1,762","989"
"BRIS","1,770","","0","0.00","0","0","0","16,695","15,737","958"
"ASGR","1,550","","0","0.00","0","0","0","1,094","156","938"
"UNTD","70","","0","0.00","0","0","0","5,300","4,382","918"
"SUPA","565","","0","0.00","0","0","0","13,831","12,924","907"
"RAAM","208","","0","0.00","0","0","0","934","31","903"
"PBSA","720","","0","0.00","0","0","0","1,136","290","846"
"KBLV","92","","0","0.00","0","0","0","1,188","354","834"
"SQMI","40","","0","0.00","0","0","0","800","0","800"
"CMRY","4,500","","0","0.00","0","0","0","5,483","4,710","773"
"FUJI","268","","0","0.00","0","0","0","836","66","770"
"LTLS","805","","0","0.00","0","0","0","708","0","708"
"EURO","1,720","","0","0.00","0","0","0","1,617","967","650"
"TAMA","159","","0","0.00","0","0","0","1,500","858","642"
"JTPE","605","","0","0.00","0","0","0","828","204","624"
"WGSH","106","","0","0.00","0","0","0","1,371","794","577"
"DATA","2,170","","0","0.00","0","0","0","7,703","7,133","570"
"ISSP","394","","0","0.00","0","0","0","1,442","931","511"
"KBLI","322","","0","0.00","0","0","0","502","2","500"
"GDST","83","","0","0.00","0","0","0","1,261","772","489"
"CGAS","149","","0","0.00","0","0","0","1,477","999","478"
"CSMI","70","","0","0.00","0","0","0","547","76","471"
"MINE","214","","0","0.00","0","0","0","488","42","446"
"TOBA","408","","0","0.00","0","0","0","11,504","11,071","433"
"TLDN","520","","0","0.00","0","0","0","588","171","417"
"SSMS","790","","0","0.00","0","0","0","8,789","8,413","376"
"BBLD","565","","0","0.00","0","0","0","343","0","343"
"HYGN","139","","0","0.00","0","0","0","339","0","339"
"PKPK","2,600","","0","0.00","0","0","0","1,077","762","315"
"HOMI","204","","0","0.00","0","0","0","798","500","298"
"BELI","282","","0","0.00","0","0","0","547","251","296"
"SLIS","64","","0","0.00","0","0","0","547","256","291"
"SNLK","226","","0","0.00","0","0","0","3,002","2,737","265"
"EPMT","2,280","","0","0.00","0","0","0","305","58","247"
"AUTO","2,440","","0","0.00","0","0","0","1,697","1,455","242"
"CENT","72","","0","0.00","0","0","0","241","0","241"
"MPXL","149","","0","0.00","0","0","0","249","8","241"
"DART","124","","0","0.00","0","0","0","294","60","234"
"VISI","1,005","","0","0.00","0","0","0","629","396","233"
"FPNI","376","","0","0.00","0","0","0","1,947","1,731","216"
"ELPI","1,160","","0","0.00","0","0","0","367","154","213"
"TEBE","1,020","","0","0.00","0","0","0","1,236","1,024","212"
"TFAS","194","","0","0.00","0","0","0","206","0","206"
"BLUE","3,100","","0","0.00","0","0","0","737","533","204"
"ACRO","64","","0","0.00","0","0","0","500","317","183"
"DEFI","119","","0","0.00","0","0","0","13,502","13,333","169"
"MDIY","850","","0","0.00","0","0","0","3,728","3,563","165"
"RISE","1,025","","0","0.00","0","0","0","172","10","162"
"ALDO","695","","0","0.00","0","0","0","168","9","159"
"YPAS","635","","0","0.00","0","0","0","156","0","156"
"MLIA","240","","0","0.00","0","0","0","324","170","154"
"PJHB","167","","0","0.00","0","0","0","256","108","148"
"SKRN","328","","0","0.00","0","0","0","128","0","128"
"ARII","288","","0","0.00","0","0","0","120","0","120"
"SGRO","2,920","","0","0.00","0","0","0","219","102","117"
"WINE","160","","0","0.00","0","0","0","117","10","107"
"SMMT","1,855","","0","0.00","0","0","0","200","94","106"
"BISI","660","","0","0.00","0","0","0","260","155","105"
"CYBR-W","424","","0","0.00","0","0","0","101","0","101"
"HEXA","4,480","","0","0.00","0","0","0","119","22","97"
"KBLM","290","","0","0.00","0","0","0","95","0","95"
"TRIM","540","","0","0.00","0","0","0","95","1","94"
"ISAP","24","","0","0.00","0","0","0","94","0","94"
"DOID","206","","0","0.00","0","0","0","3,599","3,506","93"
"TBLA","670","","0","0.00","0","0","0","1,501","1,409","92"
"PTSP","855","","0","0.00","0","0","0","95","12","83"
"OLIV","51","","0","0.00","0","0","0","79","0","79"
"KKGI","280","","0","0.00","0","0","0","172","98","74"
"CBPE","314","","0","0.00","0","0","0","72","0","72"
"GTBO","176","","0","0.00","0","0","0","67","0","67"
"BAYU","1,135","","0","0.00","0","0","0","114","50","64"
"IPCM","322","","0","0.00","0","0","0","236","173","63"
"SMMA","21,900","","0","0.00","0","0","0","91","31","60"
"BUKK","1,245","","0","0.00","0","0","0","55","0","55"
"WOMF","266","","0","0.00","0","0","0","179","126","53"
"JECC","650","","0","0.00","0","0","0","75","23","52"
"ROCK","1,940","","0","0.00","0","0","0","49","0","49"
"VINS","132","","0","0.00","0","0","0","145","97","48"
"ADMF","8,000","","0","0.00","0","0","0","57","11","46"
"CHIP","960","","0","0.00","0","0","0","45","0","45"
"CITY","159","","0","0.00","0","0","0","476","434","42"
"SFAN","1,970","","0","0.00","0","0","0","39","0","39"
"PNSE","555","","0","0.00","0","0","0","38","0","38"
"BCIP","59","","0","0.00","0","0","0","118","82","36"
"GHON","1,615","","0","0.00","0","0","0","118","85","33"
"BOLA","160","","0","0.00","0","0","0","108","77","31"
"BSSR","4,550","","0","0.00","0","0","0","1,806","1,779","27"
"KONI","2,740","","0","0.00","0","0","0","26","0","26"
"LFLO","615","","0","0.00","0","0","0","26","0","26"
"LPLI","234","","0","0.00","0","0","0","120","97","23"
"ABMM","2,420","","0","0.00","0","0","0","608","590","18"
"GMTD","1,315","","0","0.00","0","0","0","17","0","17"
"ICON","97","","0","0.00","0","0","0","337","322","15"
"GLVA","328","","0","0.00","0","0","0","137","123","14"
"BAJA","164","","0","0.00","0","0","0","1,016","1,003","13"
"GEMA","79","","0","0.00","0","0","0","12","0","12"
"TRUS","298","","0","0.00","0","0","0","11","0","11"
"ZYRX","133","","0","0.00","0","0","0","18","8","10"
"MCOR","66","","0","0.00","0","0","0","10","0","10"
"IGAR","410","","0","0.00","0","0","0","109","100","9"
"PGUN","7,600","","0","0.00","0","0","0","9","0","9"
"CASS","1,745","","0","0.00","0","0","0","9","1","8"
"BKSW","51","","0","0.00","0","0","0","7","0","7"
"BRNA","580","","0","0.00","0","0","0","37","30","7"
"KDSI","430","","0","0.00","0","0","0","6","0","6"
"JSPT","1,310","","0","0.00","0","0","0","13","7","6"
"EKAD","170","","0","0.00","0","0","0","5","0","5"
"TRST","480","","0","0.00","0","0","0","5","0","5"
"CARS","89","","0","0.00","0","0","0","73","68","5"
"BTON","342","","0","0.00","0","0","0","62","57","5"
"HAIS","174","","0","0.00","0","0","0","55","51","4"
"DMND","620","","0","0.00","0","0","0","15","11","4"
"STAR","290","","0","0.00","0","0","0","3","0","3"
"YULE","3,420","","0","0.00","0","0","0","22","19","3"
"RONY","1,090","","0","0.00","0","0","0","2","0","2"
"SMLE","99","","0","0.00","0","0","0","347","345","2"
"CINT","169","","0","0.00","0","0","0","1","0","1"
"ITIC","206","","0","0.00","0","0","0","6","5","1"
